id,feature_id,title,description,status,is_blocking,raw_input_count,created_at,updated_at
5cd9ca28-0d4b-49b5-ac88-0872a2b084c2,64d35c8d-c5a6-440a-99fb-f19f307ff324,Enterprise SSO via SAML for IT-gated accounts,Enterprise customers require SAML SSO as a hard IT requirement before they can approve Holistics. Blocking 4 active deals.,planned,true,14,2025-08-04 01:33:40,2026-01-02 01:33:40
8437d436-ee12-492d-be65-c36672c18847,76037b82-d65b-40dd-bc62-e5d591414b04,"Mask PII columns by role (email, phone, national ID)",Customers handling regulated data need to hide raw PII from analysts. Column masking shipped — follow up with accounts.,shipped,false,9,2025-09-17 01:33:40,2026-02-01 01:33:40
4a5e9275-df66-40b4-abdc-4828ac5d0afb,3cf8f039-70ec-4ab8-b31f-cebba972a9aa,Embed dashboards without requiring a Holistics login,SaaS customers want to embed dashboards in their own products without end-users needing a Holistics account.,planned,true,8,2025-09-03 01:33:40,2026-01-15 01:33:40
87e392c6-deb2-45cc-9040-a283252fd619,aa0d3b77-8fa7-43d7-ba78-68272aad1e1e,Multi-tenant RLS — each client sees only their own data,SaaS companies need per-tenant row filtering in embedded analytics. Shipped — follow up with pre-sale contacts.,shipped,false,11,2025-05-04 01:33:40,2025-10-04 01:33:40
da73903b-adf9-4d99-8e88-3e431b470a88,5b741de6-5d5d-4944-853f-a853ab84ae71,"User-level column grants, independent of role",Grant a specific individual access to a sensitive column without promoting their entire role.,planned,false,5,2025-10-03 01:33:40,2026-01-02 01:33:40
49b5422d-9f69-4cd9-b7fa-2f74c98b31ba,79a9ab59-a649-40c0-a65d-c1c5689e73e8,Trigger cache refresh via API after pipeline runs,Data teams want to invalidate the cache via API after dbt or Airflow pipelines complete.,open,false,7,2025-12-02 01:33:40,2025-12-02 01:33:40
e83c0b7e-3d1b-4f63-9016-25811fbf8f21,06139b47-94d2-41dd-b0d5-636f046a291e,Remove Holistics branding from embedded dashboards,Customers embedding dashboards in their own products need logos and domain hidden for brand consistency.,open,true,6,2025-10-17 01:33:40,2025-10-17 01:33:40
2fa9ab41-1f92-4010-b951-125600bd7c7e,b5f1e380-974e-4d3d-bb91-2c4b53e7eeef,Pre-built starter templates for SaaS and fintech,New customers struggle to build their first dashboard from scratch. Curated templates shorten time-to-value.,planned,false,8,2025-09-17 01:33:40,2026-01-02 01:33:40
a4b6f048-1a75-4962-b140-b8ebc824820c,,Excel / CSV export from any report or table,The single most common ask from finance and ops teams. One-click export to Excel or CSV. Currently requires an API workaround.,open,true,18,2025-07-05 01:33:40,2026-01-15 01:33:40
7a5a0d79-b48c-47c5-afae-33df55b5f139,,Scheduled email delivery for individual reports,Schedule a single report as a PDF or CSV on a daily/weekly cadence — not just full dashboard snapshots.,open,false,9,2025-08-18 01:33:40,2026-01-02 01:33:40
4f84fe7f-f8e8-43fb-8bab-509d67b699ae,72cabf17-54c2-42ea-9b67-052fca10769b,Pre-aggregate multi-join P&L reports for finance teams,Finance P&L dashboards with 5+ joined tables time out at scale. Pre-aggregation makes them usable for month-end reporting.,planned,true,6,2025-10-03 01:33:40,2025-12-16 01:33:40
02e08fca-9503-468c-9fea-18bea5628aa1,,Git sync support for GitLab repositories,"Several customers use GitLab, not GitHub. Current git sync only works with GitHub.",deferred,false,4,2025-06-05 01:33:40,2025-09-03 01:33:40
